Wavelength	File_name
546.19	2
550.96	3
555.73	4
560.49	5
565.26	6
570.03	7
574.80	8
579.57	9
584.33	10
589.10	11
593.87	12
598.64	13
603.41	14
608.17	15
612.94	16
617.71	17
622.48	18
627.25	19
632.01	20
636.78	21
641.55	22
646.32	23
651.09	24
655.85	25
660.62	26
665.39	27
670.16	28
674.93	29
679.69	30
684.46	31
689.23	32
694.00	33
698.77	34
703.55	35
708.30	36
713.07	37
717.84	38
722.61	39
727.37	40
732.14	41
736.91	42
741.68	43
746.45	44
751.21	45
755.98	46
760.75	47
765.52	48
770.29	49
775.05	50
779.82	51
784.59	52
789.36	53
794.13	54
798.89	55
803.66	56
808.43	57
813.20	58
817.97	59
822.73	60
827.50	61
832.27	62
837.04	63
841.81	64
846.57	65
851.34	66
856.11	67
860.88	68
865.65	69
870.41	70
875.18	71
879.95	72
884.72	73
889.49	74
894.25	75
899.02	76
903.79	77
908.56	78
913.33	79
918.09	80
922.86	81
927.63	82
932.40	83
937.17	84
941.93	85
946.70	86
951.47	87
956.24	88
961.01	89
965.77	90
970.54	91
975.31	92
980.08	93
984.85	94
989.61	95
994.38	96
999.15	97
1003.92	98
1008.69	99
1013.45	100
1018.22	101
1022.99	102
1027.76	103
1032.53	104
1037.29	105
1042.06	106
1046.83	107
1051.60	108
1056.37	109
1061.13	110
1065.90	111
1070.67	112
1075.44	113
1080.21	114
1084.97	115
1089.74	116
1094.51	117
1099.28	118
1104.05	119
1108.81	120
1113.58	121
1118.35	122
1123.12	123
1127.89	124
1132.65	125
1137.42	126
1142.19	127
1146.96	128
1151.73	129
1156.49	130
1161.26	131
1166.03	132
1170.80	133
1175.57	134
1180.33	135
1185.10	136
1189.87	137
1194.64	138
1199.41	139
1204.17	140
1208.94	141
1213.71	142
1218.48	143
1223.25	144
1228.01	145
1232.70	146
1237.55	147
1242.32	148
1247.09	149
1251.85	150
1256.62	151
1261.39	152
1266.16	153
1270.93	154
1275.69	155
1280.46	156
1285.23	157
1290.00	158
1294.77	159
1299.53	160
1304.30	161
1309.07	162
1313.84	163
1318.61	164
1323.37	165
1328.14	166
1332.91	167
1337.68	168
1342.45	169
1347.21	170
1351.98	171
1356.75	172
1361.52	173
1366.29	174
1371.05	175
1375.82	176
1380.59	177
1385.36	178
1390.13	179
1394.89	180
1399.66	181
1404.43	182
1409.20	183
1413.97	184
1418.73	185
1423.50	186
1428.27	187
1433.04	188
1437.81	189
1442.57	190
1447.34	191
1452.11	192
1456.88	193
1461.65	194
1466.41	195
1471.18	196
1475.95	197
1480.72	198
1485.49	199
1490.25	200
1495.02	201
1499.79	202
1504.56	203
1509.33	204
1514.09	205
1518.86	206
1523.63	207
1528.40	208
1533.17	209
1537.93	210
1542.70	211
1547.47	212
1552.24	213
1557.01	214
1561.77	215
1566.54	216
1571.31	217
1576.08	218
1580.85	219
1585.61	220
1590.38	221
1595.15	222
1599.92	223
1604.69	224
1609.45	225
1614.22	226
1618.99	227
1623.76	228
1628.53	229
1633.29	230
1638.06	231
1642.83	232
1647.60	233
1652.37	234
1657.13	235
1661.90	236
1666.67	237
1671.44	238
1676.21	239
1680.97	240
1685.74	241
1690.51	242
1695.28	243
1700.05	244
